dog_id	dog_name	sex	alt_status	animal_control	surrender_date	surrender_reason	description	age_months	microchip	email	breed_name
24	Lacey	unknown	1	0	2019-02-25	The animal has a behavior that I don't want to try to work with and correct.	 is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o	69	1324307979	cvonasek@toughzap.com	Belgian Laekenois
24	Lacey	unknown	1	0	2019-02-25	The animal has a behavior that I don't want to try to work with and correct.	 is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o	69	1324307979	cvonasek@toughzap.com	Labradoodle
25	Willow	female	1	0	2019-02-26	I don't want to be responsible for the animal anymore.	 This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	256		cjurney@groovestreet.com	Borzoi
25	Willow	female	1	0	2019-02-26	I don't want to be responsible for the animal anymore.	 This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	256		cjurney@groovestreet.com	Welsh Terrier
26	Honey	female	1	0	2019-03-04	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	 Our girl may look like a plain little black dog but she is anything but ordinary!  Th	124		cvonasek@toughzap.com	Chesapeake Bay Retriever
26	Honey	female	1	0	2019-03-04	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	 Our girl may look like a plain little black dog but she is anything but ordinary!  Th	124		cvonasek@toughzap.com	Yorkshire Terrier
27	Marley	female	1	0	2019-03-13	Landlord won't let me keep the animal.	 is a super sweet boxer/dane mix!  He came from a rural animal contro	249		dmontezuma@green-plus.com	Cardigan Welsh Corgi
27	Marley	female	1	0	2019-03-13	Landlord won't let me keep the animal.	 is a super sweet boxer/dane mix!  He came from a rural animal contro	249		dmontezuma@green-plus.com	Sussex Spaniel
28	Phoebe	unknown	1	1	2019-03-14	the pet sheds too much	  was adopted from us when he was 2 months old.  He was just returned because they do	168	0447698661	mo@burdell.com	Mastiff
28	Phoebe	unknown	1	1	2019-03-14	the pet sheds too much	  was adopted from us when he was 2 months old.  He was just returned because they do	168	0447698661	mo@burdell.com	Miniature Pinscher
29	Hazel	female	1	0	2019-03-18	The dog barks too much or the cat meows too much.	 This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	264	9544917421	dmontezuma@green-plus.com	Chihuahua
30	Emma	female	1	0	2019-03-20	don't know how to handle the animal's medical needs	  was rescued after she gave birth under a house in rural Texas. She'd been living on the 	89		mdeleo@funholding.com	Basador
30	Emma	female	1	0	2019-03-20	don't know how to handle the animal's medical needs	  was rescued after she gave birth under a house in rural Texas. She'd been living on the 	89		mdeleo@funholding.com	Border Terrier
31	Duke	male	1	0	2019-03-27	haven't thought about any other options	 is such a doll! She was recently rescued from euthanasia in a Texas shelt	119		tmarrier@hottechi.com	Glen of Imaal Terrier
31	Duke	male	1	0	2019-03-27	haven't thought about any other options	 is such a doll! She was recently rescued from euthanasia in a Texas shelt	119		tmarrier@hottechi.com	Silken Windhound
32	Minnie	female	1	0	2019-03-28	The animal turned 10 and you surrender the animal when it reaches that age.	  was found curled up in a shivering ball one frosty morning in the landscaping outside of a 	46	4142103190	dmontezuma@green-plus.com	Basenji
33	Cooper	male	1	0	2019-03-29	upset that the dog bit somebody	 is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused 	64		srodefer@ontomedia.com	American Staffordshire Terrier
33	Cooper	male	1	0	2019-03-29	upset that the dog bit somebody	 is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused 	64		srodefer@ontomedia.com	Labradoodle
33	Cooper	male	1	0	2019-03-29	upset that the dog bit somebody	 is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused 	64		srodefer@ontomedia.com	Longdog
34	Luna	female	1	1	2019-04-01	I need to surrender my dog because I just had my carpets cleaned.	  enjoys car rides and loves playing alon	30	8686396700	gmatuszak@green-plus.com	Bullmastiff
34	Luna	female	1	1	2019-04-01	I need to surrender my dog because I just had my carpets cleaned.	  enjoys car rides and loves playing alon	30	8686396700	gmatuszak@green-plus.com	Harrier
35	Sydney	female	1	0	2019-04-02	The animal attacks me and my family.	 Meet a handsome black Lab mix who's almost 5 years old	4		barias@xx-holding.com	Plott
36	Ruby	female	1	0	2019-04-03	My child went to jail and I don't want their animal.	 is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	93	0624367218	vmenter@silis.com	American Bulldog
36	Ruby	female	1	0	2019-04-03	My child went to jail and I don't want their animal.	 is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	93	0624367218	vmenter@silis.com	Irish Red and White Setter
37	Jake	male	1	0	2019-04-04	My dogs pees on my baby.	  If you're looking for a sporty new best friend to hang out with, this is your guy	206	6850378225	smaclead@openlane.com	Shihpoo
38	Bandit	male	1	0	2019-04-05	didn't know the cat would sleep all day	" When their dad passed away in a tragic accident, he and his ""sister""  "	12	4018693437	mmallett@konex.com	Norwegian Buhund
39	Jackson	male	1	0	2019-04-11	The dog barks too much or the cat meows too much.	  came to rescue in a starved state. Despite this, she has so much love to give. She g	86		barias@xx-holding.com	Anatolian Shepherd Dog
40	Bentley	male	1	0	2019-04-15	I have decided that my family is allergic to the animal.	   is a loving, young, playful bundle of joy & energy who would love to find herself 	10		nbatman@ron-tech.com	German Shorthaired Pointer
40	Bentley	male	1	0	2019-04-15	I have decided that my family is allergic to the animal.	   is a loving, young, playful bundle of joy & energy who would love to find herself 	10		nbatman@ron-tech.com	Irish Terrier
40	Bentley	male	1	0	2019-04-15	I have decided that my family is allergic to the animal.	   is a loving, young, playful bundle of joy & energy who would love to find herself 	10		nbatman@ron-tech.com	Rottweiler
41	Champ	male	1	0	2019-04-15	I need to surrender my dog because it chewed my sprinkler heads.	 Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She 	29	1237604775	jsweely@fasehatice.com	Pomsky
42	Gigi	female	1	0	2019-04-16	upset that the dog chewed on something or had an accident	 This adorable boy is Tango Barnwell.  He wou	230		mo@burdell.com	Anatolian Shepherd Dog
42	Gigi	female	1	0	2019-04-16	upset that the dog chewed on something or had an accident	 This adorable boy is Tango Barnwell.  He wou	230		mo@burdell.com	Yorkshire Terrier
43	Charlie	female	1	0	2019-04-17	I don't want the dog to scratch my new floors.	 is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen	34		smaclead@openlane.com	Pointer
44	Chester	male	1	0	2019-04-18	My doctor told me that the cat will suck the life out of my newborn baby.	 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	55		rdiestel@goodsilron.com	Cairn Terrier
44	Chester	male	1	0	2019-04-18	My doctor told me that the cat will suck the life out of my newborn baby.	 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	55		rdiestel@goodsilron.com	Shih Tzu
45	Lucky	female	1	0	2019-04-19	I don't want to be responsible for the animal anymore.	 This gorgeous boy is a Saint Bernard mix. He is	54	7168262500	cvonasek@toughzap.com	Otterhound
46	Riley	female	1	1	2019-04-24	moving and don't want to take the dog along	  is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	44		dmontezuma@green-plus.com	Berger Picard
47	Oliver	male	1	0	2019-05-01	I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.	 This gorgeous boy is a Saint Bernard mix. He is	194	9131352554	mmallett@konex.com	Ibizan Hound
48	Madison	female	1	0	2019-05-01	I don't want the dog to scratch my new floors.	  is in foster and here's what her foster has to say: Meet the most lovable, frie	53	0601033509	nbatman@ron-tech.com	Giant Schnauzer
49	Marley	female	1	0	2019-05-08	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	  along with his littermates and mom, was rescued from euthanasia a	76	2202768589	mmallett@konex.com	Chug
49	Marley	female	1	0	2019-05-08	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	  along with his littermates and mom, was rescued from euthanasia a	76	2202768589	mmallett@konex.com	Greyhound
50	Annie	female	1	0	2019-05-10	The animal doesn't match my new furniture.	 was homeless and roaming the streets which eventually led to his being picked-up	122		sahle@treequote.com	Basenji
50	Annie	female	1	0	2019-05-10	The animal doesn't match my new furniture.	 was homeless and roaming the streets which eventually led to his being picked-up	122		sahle@treequote.com	Chihuahua
51	Midnight	unknown	1	0	2019-05-10	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	  is so smart and curious too.  She's becoming a TV binge watching c	264		cjurney@groovestreet.com	Papillon
51	Midnight	unknown	1	0	2019-05-10	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	  is so smart and curious too.  She's becoming a TV binge watching c	264		cjurney@groovestreet.com	Yorkipoo
52	Louie	male	1	0	2019-05-14	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	 he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled 	183		barias@xx-holding.com	Canaan Dog
53	Cleo	female	1	1	2019-05-15	I need to surrender my dog because it chewed my sprinkler heads.	 is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	40	5395133308	asmith@zotware.com	Siberian Husky
54	Piper	unknown	1	0	2019-05-16	I didn't know I adopted a boy/girl animal.	  is in foster and here's what her foster has to say: Meet the most lovable, frie	12	3406020447	cjurney@groovestreet.com	Airedale Terrier
55	Brady	unknown	1	0	2019-05-16	I don't have time for the animal.	 came to us with an injury to her skin on her back. She looks like someone burned her. She 	51		kmunns@yearin.com	Wirehaired Pointing Griffon
56	Moose	male	1	0	2019-05-21	The animal doesn't match my new furniture.	 was a stray who found his way to Rescue.  He is a senior guy but acts an	28		sahle@treequote.com	Caucasian Ovcharka
57	Roxie	female	1	0	2019-05-22	I have decided that my family is allergic to the animal.	 is a sweet girl who was separated from her litter after having to have a lifesaving blood tr	8	3822482038	fcrupi@rangreen.com	Sprollie
58	Oscar	male	1	0	2019-05-27	don't like the way the dog reacted to a child	   is a loving, young, playful bundle of joy & energy who would love to find herself 	36	2020593158	jgiguere@openlane.com	Cane Corso
59	Penny	female	1	0	2019-05-31	"I ""Found"" the animal."	 is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	2	6282761749	rdiestel@goodsilron.com	German Shepherd Dog
59	Penny	female	1	0	2019-05-31	"I ""Found"" the animal."	 is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	2	6282761749	rdiestel@goodsilron.com	Lagotto Romagnolo
60	Elvis	male	1	1	2019-06-05	I got a new house and don't want it.	 We don't know what happened to him before he arrived	196	3168256198	lmenter@plexzap.com	Siberian Husky
61	Blue	male	1	0	2019-06-06	The animal turned 10 and you surrender the animal when it reaches that age.	" If you're looking for a ""no brainer"", check out this girl. She is a really E"	93		rdiestel@goodsilron.com	Border Collie
62	Bentley	male	1	0	2019-06-06	My doctor told me that the cat will suck the life out of my newborn baby.	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	67	5365023748	ncoyier@funholding.com	Miniature American Shepherd
62	Bentley	male	1	0	2019-06-06	My doctor told me that the cat will suck the life out of my newborn baby.	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	67	5365023748	ncoyier@funholding.com	Pug
63	Maggie	female	1	0	2019-06-10	don't know how to handle the animal's medical needs	 Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m	255	4484362295	dkeetch@golddex.com	Briard
64	Cooper	male	1	0	2019-06-12	The dog barks too much or the cat meows too much.	    has the floppiest ears and the saddest eyes, but 	169	6210978022	lmenter@plexzap.com	Maltese
64	Cooper	male	1	0	2019-06-12	The dog barks too much or the cat meows too much.	    has the floppiest ears and the saddest eyes, but 	169	6210978022	lmenter@plexzap.com	Polish Lowland Sheepdog
65	Loki	male	1	1	2019-06-14	problems with the cat soiling outside the litter box	  was being given away for free on a neighborhood site in Texas because a child in the home w	250	1761032421	kmunns@yearin.com	Berger Picard
66	Champ	unknown	1	1	2019-06-14	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved	240		jsweely@fasehatice.com	Goldendoodle
66	Champ	unknown	1	1	2019-06-14	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved	240		jsweely@fasehatice.com	Rottweiler
67	Zoey	female	1	0	2019-06-17	The animal attacks me and my family.	  We are looking for a home for our dog . He was born in December of 2015	59	9185107913	nbatman@ron-tech.com	Dogue de Bordeaux
67	Zoey	female	1	0	2019-06-17	The animal attacks me and my family.	  We are looking for a home for our dog . He was born in December of 2015	59	9185107913	nbatman@ron-tech.com	Miniature Schnauzer
67	Zoey	female	1	0	2019-06-17	The animal attacks me and my family.	  We are looking for a home for our dog . He was born in December of 2015	59	9185107913	nbatman@ron-tech.com	Norwegian Lundehund
68	Joey	male	1	0	2019-06-18	upset that the dog bit somebody	 This beautiful boy  was adopted out as a puppy to a loving couple but recently has c	35		walbares@conecom.com	Dogue de Bordeaux
68	Joey	male	1	0	2019-06-18	upset that the dog bit somebody	 This beautiful boy  was adopted out as a puppy to a loving couple but recently has c	35		walbares@conecom.com	Norwegian Buhund
69	Charlie	female	1	1	2019-06-20	"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"""	 is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the	66	2075926640	sjurney@groovestreet.com	Maltese
70	Annie	female	1	1	2019-06-25	The animal turned 10 and you surrender the animal when it reaches that age.	   is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha	54		fcrupi@rangreen.com	Finnish Lapphund
71	Blue	male	1	0	2019-07-01	I need to surrender my dog because it chewed my sprinkler heads.	  needs a new home ASAP as the landlord says he has to go!! Here is what his mom say	246	4648672566	walbares@conecom.com	Chow Chow
71	Blue	male	1	0	2019-07-01	I need to surrender my dog because it chewed my sprinkler heads.	  needs a new home ASAP as the landlord says he has to go!! Here is what his mom say	246	4648672566	walbares@conecom.com	Norfolk Terrier
72	Beau	male	1	0	2019-07-04	The kitten opened the refrigerator and ruined $200.00 in food.	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	106	4741762601	kmunns@yearin.com	Rat Terrier
73	Holly	female	1	0	2019-07-08	My child went to jail and I don't want their animal.	 was homeless and roaming the streets which eventually led to his being picked-up	118		jgiguere@openlane.com	Shihpoo
74	Bubba	unknown	1	0	2019-07-09	The dog barks too much or the cat meows too much.	  is a friendly handsome boy that needs his forever home. Please fill out an application a	140	3432397581	jsweely@fasehatice.com	Welsh Springer Spaniel
75	Joey	male	1	0	2019-07-11	the pet sheds too much	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	155	0346401730	edubaldi@finhigh.com	Azawakh
75	Joey	male	1	0	2019-07-11	the pet sheds too much	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	155	0346401730	edubaldi@finhigh.com	Pomapoo
76	Harley	male	1	0	2019-07-11	"I ""Found"" the animal."	 Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She 	37		walbares@conecom.com	Briard
77	Harley	unknown	1	0	2019-07-12	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	  was adopted from us when he was 2 months old.  He was just returned because they do	43	8262987496	lmenter@plexzap.com	Schnoodle
78	Marley	female	1	0	2019-07-15	I am going to have a child and don't want the animal anymore.	   I'm an absolute awesome dog and I love all people. My foster says I have	130		sjurney@groovestreet.com	Schnoodle
79	Bonnie	female	1	0	2019-07-16	don't have time for the dog anymore	  along with his littermates and mom, was rescued from euthanasia a	2	0231531255	sjurney@groovestreet.com	Brussels Griffon
79	Bonnie	female	1	0	2019-07-16	don't have time for the dog anymore	  along with his littermates and mom, was rescued from euthanasia a	2	0231531255	sjurney@groovestreet.com	English Foxhound
80	Sugar	female	1	0	2019-07-17	I didn't know I adopted a boy/girl animal.	 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	18	0607362081	smaclead@openlane.com	Finnish Spitz
81	Bonnie	female	1	1	2019-07-19	haven't thought about any other options	  We are looking for a home for our dog . He was born in December of 2015	64	8410783889	jgiguere@openlane.com	Aussiedoodle
82	Boomer	male	1	0	2019-07-22	The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.	  loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha	15		ncoyier@funholding.com	Polish Lowland Sheepdog
83	Annie	female	1	0	2019-07-23	I have decided that my family is allergic to the animal.	  was rescued after she gave birth under a house in rural Texas. She'd been living on the 	124	2684737194	fcrupi@rangreen.com	Afghan Hound
83	Annie	female	1	0	2019-07-23	I have decided that my family is allergic to the animal.	  was rescued after she gave birth under a house in rural Texas. She'd been living on the 	124	2684737194	fcrupi@rangreen.com	Swedish Vallhund
84	Piper	female	1	0	2019-07-23	My dogs pees on my baby.	 From his owner:  Please help me find a new home for my dog , an 8 year old German Sh	57		ncoyier@funholding.com	Afghan Hound
84	Piper	female	1	0	2019-07-23	My dogs pees on my baby.	 From his owner:  Please help me find a new home for my dog , an 8 year old German Sh	57		ncoyier@funholding.com	Gordon Setter
84	Piper	female	1	0	2019-07-23	My dogs pees on my baby.	 From his owner:  Please help me find a new home for my dog , an 8 year old German Sh	57		ncoyier@funholding.com	Irish Terrier
85	Sally	female	1	0	2019-07-24	My child went to jail and I don't want their animal.	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	255	0047708228	jsweely@fasehatice.com	Doxiepoo
85	Sally	female	1	0	2019-07-24	My child went to jail and I don't want their animal.	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	255	0047708228	jsweely@fasehatice.com	Xoloitzcuintli
86	Bandit	male	1	0	2019-07-25	can't or don't want to handle the costs of the pet's needs	 Meet a handsome black Lab mix who's almost 5 years old	106		mdeleo@funholding.com	Blue Picardy Spaniel
87	Macy	female	1	0	2019-07-30	the pet sheds too much	 Meet a handsome black Lab mix who's almost 5 years old	69	9360975341	gmatuszak@green-plus.com	Irish Setter
88	Cash	male	1	0	2019-07-31	I didn't know that owning an animal was this expensive	 would be a wonderful addition to your family as long as she's the only fur	161		gmatuszak@green-plus.com	Sussex Spaniel
88	Cash	male	1	0	2019-07-31	I didn't know that owning an animal was this expensive	 would be a wonderful addition to your family as long as she's the only fur	161		gmatuszak@green-plus.com	Thai Ridgeback
89	Sheldon	unknown	1	0	2019-08-01	I didn't know that owning an animal was this expensive	  is an adorable boy that is friendly and does very well with other cats. If interested please	268	4270076427	mdeleo@funholding.com	Alaskan Husky
90	Brutus	male	1	0	2019-08-02	I didn't know that owning an animal was this expensive	 she was being given away in the back of a gas station in a rural Texas town when one of our	59		dmontezuma@green-plus.com	Akbash Dog
90	Brutus	male	1	0	2019-08-02	I didn't know that owning an animal was this expensive	 she was being given away in the back of a gas station in a rural Texas town when one of our	59		dmontezuma@green-plus.com	Cairn Terrier
90	Brutus	male	1	0	2019-08-02	I didn't know that owning an animal was this expensive	 she was being given away in the back of a gas station in a rural Texas town when one of our	59		dmontezuma@green-plus.com	Cardigan Welsh Corgi
91	Sassy	female	1	0	2019-08-02	I don't want to be responsible for the animal anymore.	 is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the	160		lmenter@plexzap.com	Peruvian Inca Orchid
92	Athena	female	1	0	2019-08-07	think the dog is too hyper	  is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	264	6159881717	sahle@treequote.com	Miniature American Shepherd
92	Athena	female	1	0	2019-08-07	think the dog is too hyper	  is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	264	6159881717	sahle@treequote.com	Rhodesian Ridgeback
93	Mac	male	1	0	2019-08-07	having 'personal problems'	 would be a wonderful addition to your family as long as she's the only fur	61		nbatman@ron-tech.com	Golden Retriever
93	Mac	male	1	0	2019-08-07	having 'personal problems'	 would be a wonderful addition to your family as long as she's the only fur	61		nbatman@ron-tech.com	Pomapoo
94	Lexi	female	1	0	2019-08-14	moving and don't want to take the dog along	 Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s	115	9310470281	vmenter@silis.com	English Cocker Spaniel
94	Lexi	female	1	0	2019-08-14	moving and don't want to take the dog along	 Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s	115	9310470281	vmenter@silis.com	Irish Terrier
